,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
-4.18000e-03,-2.92e+00,-1.84e+00,7.49e-01,-3.89e+01, 
-4.08000e-03,-2.92e+00,-1.84e+00,7.33e-01,-3.89e+01, 
-3.98000e-03,-2.80e+00,-1.96e+00,8.58e-01,-3.67e+01, 
-3.88000e-03,-2.80e+00,-1.96e+00,8.27e-01,-3.67e+01, 
-3.78000e-03,-2.72e+00,-2.04e+00,8.89e-01,-3.38e+01, 
-3.68000e-03,-2.72e+00,-2.04e+00,8.58e-01,-3.31e+01, 
-3.58000e-03,-2.64e+00,-2.12e+00,8.89e-01,-3.02e+01, 
-3.48000e-03,-2.64e+00,-2.12e+00,8.58e-01,-3.02e+01, 
-3.38000e-03,-2.60e+00,-2.23e+00,9.20e-01,-2.74e+01, 
-3.28000e-03,-2.60e+00,-2.20e+00,8.89e-01,-2.66e+01, 
-3.18000e-03,-2.44e+00,-2.27e+00,9.83e-01,-2.45e+01, 
-3.08000e-03,-2.44e+00,-2.23e+00,9.67e-01,-2.45e+01, 
-2.98000e-03,-2.32e+00,-2.31e+00,9.98e-01,-2.09e+01, 
-2.88000e-03,-2.28e+00,-2.27e+00,9.67e-01,-2.09e+01, 
-2.78000e-03,-2.16e+00,-2.35e+00,1.03e+00,-1.80e+01, 
-2.68000e-03,-2.16e+00,-2.31e+00,9.67e-01,-1.73e+01, 
-2.58000e-03,-2.04e+00,-2.39e+00,1.01e+00,-1.44e+01, 
-2.48000e-03,-2.04e+00,-2.39e+00,9.98e-01,-1.44e+01, 
-2.38000e-03,-1.88e+00,-2.43e+00,1.06e+00,-1.08e+01, 
-2.28000e-03,-1.88e+00,-2.39e+00,9.98e-01,-1.08e+01, 
-2.18000e-03,-1.72e+00,-2.43e+00,1.06e+00,-7.92e+00, 
-2.08000e-03,-1.72e+00,-2.43e+00,1.01e+00,-7.92e+00, 
-1.98000e-03,-1.60e+00,-2.39e+00,1.08e+00,-5.04e+00, 
-1.88000e-03,-1.60e+00,-2.47e+00,1.05e+00,-4.32e+00, 
-1.78000e-03,-1.44e+00,-2.39e+00,1.01e+00,-7.20e-01, 
-1.68000e-03,-1.44e+00,-2.43e+00,1.01e+00,-7.20e-01, 
-1.58000e-03,-1.28e+00,-2.39e+00,1.06e+00,2.16e+00, 
-1.48000e-03,-1.24e+00,-2.43e+00,9.98e-01,2.16e+00, 
-1.38000e-03,-1.12e+00,-2.39e+00,1.05e+00,5.76e+00, 
-1.28000e-03,-1.08e+00,-2.39e+00,9.98e-01,5.76e+00, 
-1.18000e-03,-9.20e-01,-2.35e+00,1.05e+00,8.64e+00, 
-1.08000e-03,-9.20e-01,-2.39e+00,9.98e-01,9.36e+00, 
-9.79999e-04,-7.20e-01,-2.31e+00,1.05e+00,1.22e+01, 
-8.79999e-04,-7.20e-01,-2.35e+00,9.98e-01,1.22e+01, 
-7.79998e-04,-5.20e-01,-2.27e+00,1.05e+00,1.51e+01, 
-6.79999e-04,-5.20e-01,-2.27e+00,9.83e-01,1.58e+01, 
-5.79999e-04,-3.20e-01,-2.23e+00,1.01e+00,1.94e+01, 
-4.79999e-04,-3.20e-01,-2.27e+00,9.36e-01,1.94e+01, 
-3.79999e-04,-1.20e-01,-2.16e+00,9.98e-01,2.23e+01, 
-2.79999e-04,-1.20e-01,-2.12e+00,9.67e-01,2.30e+01, 
-1.79999e-04,8.00e-02,-2.16e+00,9.36e-01,2.52e+01, 
-7.99987e-05,8.00e-02,-2.08e+00,9.36e-01,2.52e+01, 
2.00011e-05,2.80e-01,-2.00e+00,8.89e-01,2.81e+01, 
1.20001e-04,2.80e-01,-2.00e+00,8.58e-01,2.81e+01, 
2.20001e-04,4.80e-01,-1.92e+00,9.05e-01,3.10e+01, 
3.20001e-04,4.80e-01,-1.96e+00,8.74e-01,3.17e+01, 
4.20001e-04,6.80e-01,-1.84e+00,8.27e-01,3.31e+01, 
5.20001e-04,6.80e-01,-1.84e+00,8.27e-01,3.38e+01, 
6.20001e-04,8.80e-01,-1.72e+00,7.96e-01,3.60e+01, 
7.20001e-04,8.80e-01,-1.69e+00,7.80e-01,3.67e+01, 
8.20001e-04,1.04e+00,-1.61e+00,7.33e-01,3.82e+01, 
9.20000e-04,1.08e+00,-1.61e+00,7.49e-01,3.89e+01, 
1.02000e-03,1.24e+00,-1.49e+00,6.86e-01,4.10e+01, 
1.12000e-03,1.24e+00,-1.49e+00,6.86e-01,4.10e+01, 
1.22000e-03,1.40e+00,-1.37e+00,6.24e-01,4.32e+01, 
1.32000e-03,1.40e+00,-1.37e+00,6.55e-01,4.32e+01, 
1.42000e-03,1.60e+00,-1.25e+00,5.93e-01,4.61e+01, 
1.52000e-03,1.60e+00,-1.25e+00,6.40e-01,4.54e+01, 
1.62000e-03,1.76e+00,-1.14e+00,5.46e-01,4.68e+01, 
1.72000e-03,1.76e+00,-1.14e+00,5.46e-01,4.75e+01, 
1.82000e-03,1.88e+00,-1.02e+00,4.52e-01,4.82e+01, 
1.92000e-03,1.88e+00,-9.80e-01,4.84e-01,4.90e+01, 
2.02000e-03,2.08e+00,-8.62e-01,3.90e-01,5.04e+01, 
2.12000e-03,2.08e+00,-8.23e-01,4.37e-01,5.04e+01, 
2.22000e-03,2.20e+00,-7.06e-01,3.74e-01,5.11e+01, 
2.32000e-03,2.24e+00,-7.06e-01,3.74e-01,5.11e+01, 
2.42000e-03,2.32e+00,-5.88e-01,2.65e-01,5.26e+01, 
2.52000e-03,2.32e+00,-5.88e-01,2.81e-01,5.33e+01, 
2.62000e-03,2.40e+00,-4.31e-01,1.87e-01,5.18e+01, 
2.72000e-03,2.44e+00,-4.31e-01,2.18e-01,5.33e+01, 
2.82000e-03,2.56e+00,-3.14e-01,1.40e-01,5.33e+01, 
2.92000e-03,2.56e+00,-2.74e-01,1.72e-01,5.33e+01, 
3.02000e-03,2.68e+00,-1.57e-01,1.40e-01,5.40e+01, 
3.12000e-03,2.68e+00,-1.18e-01,1.25e-01,5.40e+01, 
3.22000e-03,2.72e+00,0.00e+00,0.00e+00,5.33e+01, 
3.32000e-03,2.68e+00,0.00e+00,1.56e-02,5.40e+01, 
3.42000e-03,2.80e+00,1.57e-01,-6.24e-02,5.33e+01, 
3.52000e-03,2.80e+00,1.57e-01,-3.12e-02,5.33e+01, 
3.62000e-03,2.88e+00,2.74e-01,-1.09e-01,5.40e+01, 
3.72000e-03,2.92e+00,3.14e-01,-6.24e-02,5.33e+01, 
3.82000e-03,2.96e+00,4.31e-01,-1.40e-01,5.40e+01, 
3.92000e-03,2.96e+00,4.31e-01,-1.40e-01,5.33e+01, 
4.02000e-03,3.00e+00,5.49e-01,-2.65e-01,5.26e+01, 
4.12000e-03,2.96e+00,5.88e-01,-2.50e-01,5.33e+01, 
4.22000e-03,2.92e+00,7.06e-01,-3.59e-01,5.11e+01, 
4.32000e-03,2.96e+00,7.06e-01,-3.43e-01,5.11e+01, 
4.42000e-03,3.08e+00,8.23e-01,-2.81e-01,5.04e+01, 
4.52000e-03,3.04e+00,8.62e-01,-3.12e-01,5.04e+01, 
4.62000e-03,3.12e+00,9.41e-01,-3.90e-01,4.90e+01, 
4.72000e-03,3.12e+00,9.41e-01,-3.59e-01,4.90e+01, 
4.82000e-03,3.00e+00,1.10e+00,-4.99e-01,4.75e+01, 
4.92000e-03,3.04e+00,1.14e+00,-4.99e-01,4.75e+01, 
5.02000e-03,2.96e+00,1.25e+00,-5.77e-01,4.54e+01, 
5.12000e-03,2.96e+00,1.25e+00,-5.46e-01,4.61e+01, 
5.22000e-03,3.04e+00,1.37e+00,-6.08e-01,4.39e+01, 
5.32000e-03,2.96e+00,1.37e+00,-5.62e-01,4.32e+01, 
5.42000e-03,3.00e+00,1.45e+00,-6.40e-01,4.18e+01, 
5.52000e-03,3.00e+00,1.45e+00,-6.08e-01,4.18e+01, 
5.62000e-03,2.92e+00,1.53e+00,-6.86e-01,3.96e+01, 
5.72000e-03,2.92e+00,1.57e+00,-6.71e-01,3.96e+01, 
5.82000e-03,2.84e+00,1.65e+00,-7.64e-01,3.67e+01, 
5.92000e-03,2.84e+00,1.65e+00,-7.49e-01,3.67e+01, 
6.02000e-03,2.76e+00,1.72e+00,-7.96e-01,3.46e+01, 
6.12000e-03,2.80e+00,1.72e+00,-7.80e-01,3.38e+01, 
6.22000e-03,2.72e+00,1.80e+00,-8.42e-01,3.17e+01, 
6.32000e-03,2.68e+00,1.80e+00,-7.96e-01,3.17e+01, 
6.42000e-03,2.64e+00,1.92e+00,-8.42e-01,2.95e+01, 
6.52000e-03,2.60e+00,1.92e+00,-8.42e-01,2.81e+01, 
6.62000e-03,2.52e+00,1.96e+00,-9.36e-01,2.59e+01, 
6.72000e-03,2.52e+00,1.96e+00,-9.05e-01,2.59e+01, 
6.82000e-03,2.40e+00,2.08e+00,-9.52e-01,2.30e+01, 
6.92000e-03,2.40e+00,2.08e+00,-9.05e-01,2.30e+01, 
7.02000e-03,2.28e+00,2.04e+00,-9.67e-01,2.02e+01, 
7.12000e-03,2.28e+00,2.08e+00,-9.20e-01,1.94e+01, 
7.22000e-03,2.16e+00,2.12e+00,-9.83e-01,1.66e+01, 
7.32000e-03,2.12e+00,2.16e+00,-1.01e+00,1.58e+01, 
7.42000e-03,2.00e+00,2.12e+00,-9.52e-01,1.30e+01, 
7.52000e-03,1.96e+00,2.20e+00,-1.01e+00,1.22e+01, 
7.62000e-03,1.84e+00,2.16e+00,-9.67e-01,1.01e+01, 
7.72000e-03,1.84e+00,2.20e+00,-1.06e+00,9.36e+00, 
7.82000e-03,1.68e+00,2.23e+00,-9.83e-01,5.76e+00, 
7.92000e-03,1.68e+00,2.23e+00,-1.03e+00,5.76e+00, 
8.02000e-03,1.56e+00,2.23e+00,-9.98e-01,2.88e+00, 
8.12000e-03,1.56e+00,2.23e+00,-1.03e+00,2.16e+00, 
8.22000e-03,1.40e+00,2.20e+00,-9.83e-01,-7.20e-01, 
8.32000e-03,1.40e+00,2.23e+00,-1.03e+00,-7.20e-01, 
8.42000e-03,1.24e+00,2.20e+00,-9.67e-01,-4.32e+00, 
8.52000e-03,1.24e+00,2.23e+00,-1.05e+00,-4.32e+00, 
8.62000e-03,1.08e+00,2.16e+00,-9.98e-01,-7.20e+00, 
8.72000e-03,1.04e+00,2.20e+00,-1.01e+00,-7.92e+00, 
8.82000e-03,8.80e-01,2.16e+00,-9.67e-01,-1.08e+01, 
8.92000e-03,8.40e-01,2.20e+00,-1.01e+00,-1.08e+01, 
9.02000e-03,6.80e-01,2.12e+00,-9.52e-01,-1.37e+01, 
9.12000e-03,6.80e-01,2.12e+00,-9.98e-01,-1.44e+01, 
9.22000e-03,4.80e-01,2.08e+00,-9.52e-01,-1.73e+01, 
9.32000e-03,4.80e-01,2.08e+00,-9.98e-01,-1.80e+01, 
9.42000e-03,2.80e-01,2.00e+00,-9.36e-01,-2.09e+01, 
9.52000e-03,2.80e-01,2.04e+00,-9.52e-01,-2.09e+01, 
9.62000e-03,1.20e-01,1.92e+00,-8.89e-01,-2.38e+01, 
9.72000e-03,1.20e-01,2.00e+00,-9.36e-01,-2.38e+01, 
9.82000e-03,-4.00e-02,1.88e+00,-8.42e-01,-2.74e+01, 
9.92000e-03,-8.00e-02,1.88e+00,-9.05e-01,-2.74e+01, 
