fecha_exacta,dia,mes,media_de_espectadores,mensajes_del_chat,seguimientos,espectadores_maximos,minutos_de_emision,ingresos_por_suscripciones,ingresos_de_prime,ingresos_por_suscripciones_de_regalo,ingresos_por_bits,suscripciones_a_prime,total_de_suscripciones_de_pago,total_de_suscripciones_de_regalo
Thu Oct 21 2021,Thu,Oct,171.95,1121,87,218,83,1.925,1.589,0,0.2,0,0,0
Fri Oct 22 2021,Fri,Oct,16.86,181,26,34,111,1.554,0,0.861,0,0,0,0
Sat Oct 23 2021,Sat,Oct,94.6,1790,46,265,184,1.526,0.7945,0.7455,0.14,0,0,0
Sun Oct 24 2021,Sun,Oct,70.03,1227,54,242,220,2.3835,0.7945,0.63,0,0,0,0
Mon Oct 25 2021,Mon,Oct,278.52,1495,58,336,61,1.8795,0,0,0.4,0,0,0
Tue Oct 26 2021,Tue,Oct,279.78,1573,28,322,50,0.637,0,0,0,0,0,0
Wed Oct 27 2021,Wed,Oct,135.25,2673,46,311,139,3.689,0,0,0.05,0,0,0
Thu Oct 28 2021,Thu,Oct,102.82,1134,26,194,115,2.3275,0,0,0,0,0,0
Fri Oct 29 2021,Fri,Oct,40.4,605,28,133,145,3.1115,2.163,1.512,0,0,0,0
Sat Oct 30 2021,Sat,Oct,19.33,514,24,44,221,1.5255,0,0,0.02,0,0,0
Sun Oct 31 2021,Sun,Oct,41.78,1889,14,132,336,2.891,2.3835,9.737,3.14,0,0,0
Mon Nov 01 2021,Mon,Nov,177.56,966,18,243,26,1.512,0,1.267,64.35,0,0,0
Tue Nov 02 2021,Tue,Nov,164.16,1594,74,317,103,4.13,0,1.799,0,0,0,0
Wed Nov 03 2021,Wed,Nov,148.84,2243,28,266,110,5.131,3.178,14.476,0,0,0,0
Thu Nov 04 2021,Thu,Nov,67.32,2164,25,212,186,4.284,6.482,18.935,0.01,0,0,0
Fri Nov 05 2021,Fri,Nov,27.05,428,13,35,60,0.7455,0,1.267,0,0,0,0
Sat Nov 06 2021,Sat,Nov,61.46,2483,20,194,216,0.77,2.3835,10.689,0.54,0,0,0
Sun Nov 07 2021,Sun,Nov,41.63,1997,31,125,330,4.06,0,0.7525,0.58,0,0,0
Mon Nov 08 2021,Mon,Nov,169.13,2869,67,283,143,3.3775,1.589,16.6355,6.6,0,0,0
Tue Nov 09 2021,Tue,Nov,188.08,2124,20,250,93,0.65,3.241,4.452,0.03,0,0,0
Wed Nov 10 2021,Wed,Nov,84.2,3790,17,241,285,1.196,0.7945,5.089,0.02,0,0,0
Thu Nov 11 2021,Thu,Nov,50.99,5379,126,333,1010,0.8925,1.589,5.4985,26.6,0,0,0
Fri Nov 12 2021,Fri,Nov,27.85,3527,52,59,1248,0.917,0,13.265,137.59,0,0,0
Sat Nov 13 2021,Sat,Nov,92.87,3369,18,157,136,1.6975,0,0,0,0,0,0
Sun Nov 14 2021,Sun,Nov,94.53,3295,62,129,146,1.5645,0,0,0,0,0,0
Mon Nov 15 2021,Mon,Nov,190.23,1551,27,323,52,0,1.589,0,2.65,0,0,0
Tue Nov 16 2021,Tue,Nov,160.54,1095,20,205,54,3.605,1.743,0,0,0,0,0
Wed Nov 17 2021,Wed,Nov,162.74,1005,19,203,53,1.8965,0.7945,0,0,0,0,0
Thu Nov 18 2021,Thu,Nov,46.38,2188,18,260,417,2.653,0.7945,0,0,0,0,0
Fri Nov 19 2021,Fri,Nov,19.59,2146,33,40,597,3.955,0,0,4.23,0,0,0
Sat Nov 20 2021,Sat,Nov,14.92,136,10,24,72,1.512,0.7945,0,0.08,0,0,0
Sun Nov 21 2021,Sun,Nov,0,0,14,0,0,0.7525,0,0,0,0,0,0
Mon Nov 22 2021,Mon,Nov,170.3,1879,45,290,111,5.649,2.3835,0,0.11,0,0,0
Tue Nov 23 2021,Tue,Nov,131.61,2422,23,235,110,2.9435,1.589,2.6565,1,0,0,0
Wed Nov 24 2021,Wed,Nov,58.18,2402,47,369,311,2.401,1.589,8.2355,4.08,0,0,0
Thu Nov 25 2021,Thu,Nov,13.34,129,26,26,56,0,0,0,1.43,0,0,0
